Entity,avg_rate,HDI_rank_2021,HDI_Value,Life_expectancy,Expected_years_of_schooling,Mean_years_of_schooling,GNI_per_capita,GNI_rank_minus_HDI_rank,HDI_rank_2020,Development status
Iceland,9.27,3,0.959,82.6782,19.163059230000002,13.76716995,55782.04981,11,2,VERY HIGH HUMAN DEVELOPMENT
Netherlands,9.2,10,0.941,81.6873,18.69316522,12.58162975,55979.411,3,10,VERY HIGH HUMAN DEVELOPMENT
San Marino,9.18,44,0.853,80.8786,12.26613998,10.80146027,52653.82534,-25,46,VERY HIGH HUMAN DEVELOPMENT
Luxembourg,9.06,17,0.93,82.6287,14.39813995,13.01519217,84649.47467,-13,17,VERY HIGH HUMAN DEVELOPMENT
Pakistan,9,161,0.544,66.0979,8.658349991,4.536330223,4623.70543,-19,161,LOW HUMAN DEVELOPMENT
Niger,8.98,189,0.4,61.5763,6.957111988,2.116717299,1239.866936,-3,189,LOW HUMAN DEVELOPMENT
Turkmenistan,8.94,91,0.745,69.2644,13.21039963,11.26139,13020.7155,-1,93,HIGH HUMAN DEVELOPMENT
Denmark,8.83,6,0.948,81.3753,18.71479988,12.96049023,60364.78595,6,5,VERY HIGH HUMAN DEVELOPMENT
Portugal,8.66,38,0.866,81.0443,16.87122917,9.575940132,33154.53343,3,39,VERY HIGH HUMAN DEVELOPMENT
Thailand,8.6,66,0.8,78.7154,15.88221913,8.697119713,17030.15352,6,64,VERY HIGH HUMAN DEVELOPMENT
Bosnia and Herzegovina,8.56,74,0.78,75.3003,13.8,10.53631973,15241.91465,4,73,HIGH HUMAN DEVELOPMENT
El Salvador,8.42,125,0.675,70.7479,12.67134767,7.150929928,8295.665889,-8,124,MEDIUM HUMAN DEVELOPMENT
Mauritius,8.33,63,0.802,73.5552,15.17352977,10.42791048,22025.34631,-1,62,VERY HIGH HUMAN DEVELOPMENT
Armenia,8.27,85,0.759,72.0431,13.11676025,11.33030033,13157.9939,4,87,HIGH HUMAN DEVELOPMENT
Viet Nam,8.08,115,0.703,73.6181,12.9519325,8.370280266,7867.371345,6,113,HIGH HUMAN DEVELOPMENT
Mali,8.04,186,0.428,58.9414,7.423037617,2.31,2132.629443,-11,186,LOW HUMAN DEVELOPMENT
North Macedonia,7.98,78,0.77,73.8415,13.62443234,10.22815037,15917.75283,-3,79,HIGH HUMAN DEVELOPMENT
Nigeria,7.86,163,0.535,52.676,10.12758388,7.181074153,4790.284425,-22,163,LOW HUMAN DEVELOPMENT
China,7.81,79,0.768,78.2107,14.2361149,7.600118446,17504.39969,-8,82,HIGH HUMAN DEVELOPMENT
Venezuela (Bolivarian Republic of),7.75,120,0.691,70.5536,12.81608,11.10727736,4810.882621,20,118,MEDIUM HUMAN DEVELOPMENT
Morocco,7.74,123,0.683,74.0419,14.15190983,5.916,7302.81917,1,122,MEDIUM HUMAN DEVELOPMENT
Seychelles,7.54,72,0.785,71.2945,13.94161034,10.28312,25830.61775,-17,69,HIGH HUMAN DEVELOPMENT
Sudan,7.43,172,0.508,65.2667,7.945187858,3.82,3575.19084,-14,171,LOW HUMAN DEVELOPMENT
Costa Rica,7.35,58,0.809,77.0232,16.54577065,8.804059982,19974.27358,8,57,VERY HIGH HUMAN DEVELOPMENT
Comoros,7.26,156,0.558,63.4174,11.92432393,5.078649,3142.064119,6,156,MEDIUM HUMAN DEVELOPMENT
Andorra,7.26,40,0.858,80.3684,13.30023874,10.55511952,51166.62661,-19,45,VERY HIGH HUMAN DEVELOPMENT
Belize,7.23,123,0.683,70.4697,12.99168968,8.847599983,6309.099778,6,120,MEDIUM HUMAN DEVELOPMENT
Singapore,7.19,12,0.939,82.7545,16.5243206,11.92488003,90918.64471,-10,10,VERY HIGH HUMAN DEVELOPMENT
United Kingdom,7.16,18,0.929,80.7422,17.30971909,13.4061203,45224.76564,9,17,VERY HIGH HUMAN DEVELOPMENT
Bolivia (Plurinational State of),7.11,118,0.692,63.6304,14.94697094,9.827750206,8111.190194,0,119,HIGH HUMAN DEVELOPMENT
Lao People's Democratic Republic,6.89,140,0.607,68.0608,10.13611031,5.374,7699.579617,-18,142,MEDIUM HUMAN DEVELOPMENT
Dominican Republic,6.87,80,0.767,72.6146,14.46655802,9.3068641070000009,17989.60037,-11,82,HIGH HUMAN DEVELOPMENT
Georgia,6.83,63,0.802,71.694,15.56851959,12.82221985,14664.16825,17,64,VERY HIGH HUMAN DEVELOPMENT
Mauritania,6.58,158,0.556,64.3636,9.376159668,4.918804891,5075.305711,-20,158,LOW HUMAN DEVELOPMENT
Afghanistan,6.56,180,0.478,61.9824,10.26384398,2.98506999,1824.190915,-2,177,LOW HUMAN DEVELOPMENT
Saint Lucia,6.5,106,0.715,71.1114,12.86610985,8.545040131,12048.30381,-7,104,HIGH HUMAN DEVELOPMENT
Saint Vincent and the Grenadines,6.33,89,0.751,69.6291,14.67220567,10.83343029,11961.08792,11,82,HIGH HUMAN DEVELOPMENT
Nicaragua,6.16,126,0.667,73.8368,12.64135783,7.144,5624.793595,6,129,MEDIUM HUMAN DEVELOPMENT
Bhutan,6.01,127,0.666,71.815,13.22500478,5.170262283,9437.541512,-15,125,MEDIUM HUMAN DEVELOPMENT
Brazil,5.96,87,0.754,72.7504,15.59906006,8.128813955,14369.88848,-5,86,HIGH HUMAN DEVELOPMENT
Yemen,5.94,183,0.455,63.7534,9.09871006,3.2,1314.270189,1,183,LOW HUMAN DEVELOPMENT
Israel,5.92,22,0.919,82.255,16.05088997,13.3448664,41523.74319,10,22,VERY HIGH HUMAN DEVELOPMENT
Paraguay,5.92,105,0.717,70.2617,12.98799113,8.861840248,12349.286,-10,100,HIGH HUMAN DEVELOPMENT
Iraq,5.87,121,0.686,70.3779,12.08747317,7.905593489,9977.249073,-12,122,MEDIUM HUMAN DEVELOPMENT
Guatemala,5.84,135,0.627,69.2368,10.56245041,5.681300163,8723.285317,-20,133,MEDIUM HUMAN DEVELOPMENT
Mexico,5.81,86,0.758,70.2127,14.86443996,9.221050262,17896.29498,-16,88,HIGH HUMAN DEVELOPMENT
Spain,5.8,27,0.905,83.01,17.91690063,10.60540009,38353.60164,10,27,VERY HIGH HUMAN DEVELOPMENT
Brunei Darussalam,5.7,51,0.829,74.6424,13.95178032,9.18,64489.53954,-42,49,VERY HIGH HUMAN DEVELOPMENT
Colombia,5.63,88,0.752,72.8296,14.44274998,8.862859726,14384.35666,-7,88,HIGH HUMAN DEVELOPMENT
Tajikistan,5.55,122,0.685,71.5942,11.65303618,11.3333938,4547.742427,23,126,MEDIUM HUMAN DEVELOPMENT
United Arab Emirates,5.52,26,0.911,78.7104,15.71769047,12.69402981,62573.59181,-15,25,VERY HIGH HUMAN DEVELOPMENT
Malaysia,5.49,62,0.803,74.8839,13.34304047,10.64505959,26657.94355,-8,61,VERY HIGH HUMAN DEVELOPMENT
Timor-Leste,5.4,140,0.607,67.7369,12.616098,5.43679,4460.869435,7,140,MEDIUM HUMAN DEVELOPMENT
Cambodia,5.34,146,0.593,69.5835,11.46772,5.088,4078.697154,3,148,MEDIUM HUMAN DEVELOPMENT
Bahrain,5.31,35,0.875,78.7605,16.29755974,11.04658985,39497.24788,-1,35,VERY HIGH HUMAN DEVELOPMENT
Iran (Islamic Republic of),5.28,76,0.774,73.8749,14.61524963,10.63645314,13000.7117,15,77,HIGH HUMAN DEVELOPMENT
Tonga,5.15,91,0.745,70.9857,16.04857063,11.392594,6822.03125,34,90,HIGH HUMAN DEVELOPMENT
Italy,5.1,30,0.895,82.8502,16.22678947,10.7401104,42839.51441,0,32,VERY HIGH HUMAN DEVELOPMENT
Albania,5.06,67,0.796,76.4626,14.44799995,11.28645502,14131.11039,17,68,HIGH HUMAN DEVELOPMENT
Panama,5.02,61,0.805,76.2233,13.05787868,10.54059029,26956.83707,-8,67,VERY HIGH HUMAN DEVELOPMENT
Bangladesh,5,129,0.661,72.3811,12.44198036,7.379059792,5472.104781,4,128,MEDIUM HUMAN DEVELOPMENT
Dominica,4.88,102,0.72,72.814,13.3191862,8.142186,11487.62422,0,106,HIGH HUMAN DEVELOPMENT
Grenada,4.8,68,0.795,74.9362,18.66202035,9.032104,13483.5774,18,70,HIGH HUMAN DEVELOPMENT
Libya,4.62,104,0.718,71.9112,12.85428,7.599985,15335.712,-27,117,HIGH HUMAN DEVELOPMENT
Qatar,4.51,42,0.855,79.2716,12.63722038,9.99601145,87134.13469,-39,42,VERY HIGH HUMAN DEVELOPMENT
Saudi Arabia,4.41,35,0.875,76.936,16.13549042,11.31052971,46111.55135,-10,38,VERY HIGH HUMAN DEVELOPMENT
Malta,4.37,23,0.918,83.7769,16.83856964,12.21026039,38884.45623,12,26,VERY HIGH HUMAN DEVELOPMENT
Cyprus,4.23,29,0.896,81.2033,15.64826965,12.44017029,38188.42152,9,29,VERY HIGH HUMAN DEVELOPMENT
Philippines,4.16,116,0.699,69.2664,13.12656975,8.969099998,8920.428468,-3,113,HIGH HUMAN DEVELOPMENT
Myanmar,4.04,149,0.585,65.6716,10.90913752,6.37680006,3850.524234,5,145,MEDIUM HUMAN DEVELOPMENT
Azerbaijan,3.86,91,0.745,69.3658,13.49689007,10.5429697,14256.74456,-8,100,HIGH HUMAN DEVELOPMENT
Barbados,3.78,70,0.79,77.5714,15.71338458,9.852700596,12306.341,26,71,HIGH HUMAN DEVELOPMENT
Algeria,3.73,91,0.745,76.3767,14.62689602,8.069284397,10800.22546,13,96,HIGH HUMAN DEVELOPMENT
Maldives,3.72,90,0.747,79.9182,12.63560963,7.322,15448.12788,-14,97,HIGH HUMAN DEVELOPMENT
Egypt,3.59,97,0.731,70.2207,13.78649972,9.573026174,11731.69056,4,97,HIGH HUMAN DEVELOPMENT
Saint Kitts and Nevis,3.58,75,0.777,71.6822,15.42769157,8.662745,23358.33212,-16,76,HIGH HUMAN DEVELOPMENT
Greece,3.53,33,0.887,80.1106,20.02878952,11.40853024,29002.48545,17,33,VERY HIGH HUMAN DEVELOPMENT
Tunisia,3.43,97,0.731,73.7719,15.42538224,7.431598614,10257.54477,10,94,HIGH HUMAN DEVELOPMENT
Honduras,3.41,137,0.621,70.1229,10.13281417,7.088479996,5297.955301,-1,138,MEDIUM HUMAN DEVELOPMENT
Lebanon,3.4,112,0.706,75.0472,11.28587,8.718636,9525.831467,-1,103,HIGH HUMAN DEVELOPMENT
Indonesia,3.12,114,0.705,67.5703,13.74889386,8.556509972,11466.06836,-11,116,HIGH HUMAN DEVELOPMENT
Peru,3.12,84,0.762,72.3769,15.38773354,9.885518863,12245.89366,13,85,HIGH HUMAN DEVELOPMENT
Oman,3.08,54,0.816,72.5406,14.57349014,11.65404034,27054.32505,-2,51,VERY HIGH HUMAN DEVELOPMENT
Bahamas,2.82,55,0.812,71.5983,12.89945,12.64192386,30486.18429,-8,58,VERY HIGH HUMAN DEVELOPMENT
"Palestine, State of",2.8,106,0.715,73.4727,13.35801029,9.938480377,6582.899416,21,109,HIGH HUMAN DEVELOPMENT
Antigua and Barbuda,2.77,71,0.788,78.4968,14.18462641,9.293740746,16792.36595,2,71,HIGH HUMAN DEVELOPMENT
Jamaica,2.76,110,0.709,70.5003,13.40492042,9.154628661,8834.47567,4,110,HIGH HUMAN DEVELOPMENT
Kuwait,2.74,50,0.831,78.6729,15.32443332,7.328022618,52919.76137,-32,54,VERY HIGH HUMAN DEVELOPMENT
Sao Tome and Principe,2.51,138,0.618,67.5912,13.36538506,6.215599435,4021.350815,13,139,MEDIUM HUMAN DEVELOPMENT
Jordan,2.49,102,0.72,74.2563,10.64655972,10.44668007,9923.714974,8,104,HIGH HUMAN DEVELOPMENT
Syrian Arab Republic,2.3,150,0.577,72.0627,9.164219856,5.1,4191.933893,-2,152,MEDIUM HUMAN DEVELOPMENT
